dataset,task,num_queries,num_gallery,num_classes,seed,pca_fit,R@1,R@5,R@10,mAP,avg_labels_per_query,avg_labels_per_gallery,P@1,ML_Recall@1,F1@1,P@5,ML_Recall@5,F1@5,P@10,ML_Recall@10,F1@10
EuroSAT_MS,image_to_image_single_label,2700,2700,10,42,global_reference_pixels,82.11110830307007,95.88888883590698,98.00000190734863,42.46266279783514,,,,,,,,,,,
BigEarthNetS2,image_to_image_multi_label,1000,10000,10,42,global_reference_pixels,89.89999890327454,98.7999975681305,99.59999918937683,71.45481678340585,2.632999897003174,2.6589999198913574,89.89999890327454,0.0166301557328552,0.03325191210024059,89.59999680519104,0.08271474507637322,0.16521987272426486,89.06999826431274,0.16380693996325135,0.3267929656431079
