patch_name,query,total_ms,opt_ms,initial_loss,final_loss,weights_sum
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_17_67,A satellite image of complex cultivation patterns,232.69,1.29,0.0278,0.0272,1.0
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_20_18,A satellite image of complex cultivation patterns,232.88,1.79,0.0261,0.0253,1.0
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_22_12,A satellite image of complex cultivation patterns,231.95,1.44,0.0271,0.0261,1.0
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_26_22,A satellite image of complex cultivation patterns,230.34,1.25,0.0301,0.0292,1.0
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_40_57,A satellite image of complex cultivation patterns,233.14,1.44,0.0294,0.0276,1.0
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_42_10,A satellite image of complex cultivation patterns,234.22,1.75,0.0328,0.0314,1.0
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_50_51,A satellite image of complex cultivation patterns,233.52,1.2,0.0278,0.0262,1.0
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_59_31,A satellite image of complex cultivation patterns,235.2,1.52,0.0289,0.0282,1.0
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_71_85,A satellite image of complex cultivation patterns,235.08,1.75,0.0298,0.029,1.0
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_72_77,A satellite image of complex cultivation patterns,232.74,1.26,0.028,0.0261,1.0
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_77_87,A satellite image of complex cultivation patterns,235.49,1.38,0.0303,0.0278,1.0
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_84_67,A satellite image of complex cultivation patterns,234.22,1.24,0.0305,0.0291,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_36_62,A satellite image of complex cultivation patterns,233.61,1.43,0.0358,0.0344,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_37_55,A satellite image of complex cultivation patterns,233.94,1.26,0.0326,0.0313,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_41_32,A satellite image of complex cultivation patterns,231.73,1.24,0.0323,0.0307,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_45_44,A satellite image of complex cultivation patterns,233.36,1.23,0.0358,0.0343,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_52_30,A satellite image of complex cultivation patterns,234.06,1.5,0.0387,0.0375,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_62_78,A satellite image of complex cultivation patterns,233.97,1.55,0.0333,0.0321,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_67_84,A satellite image of complex cultivation patterns,233.77,1.57,0.0282,0.0271,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_71_30,A satellite image of complex cultivation patterns,274.67,1.28,0.0311,0.0305,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_71_37,A satellite image of complex cultivation patterns,236.16,1.54,0.0308,0.0296,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_73_69,A satellite image of complex cultivation patterns,230.92,1.44,0.0305,0.0294,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_80_34,A satellite image of complex cultivation patterns,230.75,1.31,0.0332,0.0315,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_82_64,A satellite image of complex cultivation patterns,233.02,1.27,0.0331,0.0313,1.0
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_82_78,A satellite image of complex cultivation patterns,234.43,1.3,0.0309,0.0297,1.0
S2A_MSIL2A_20180219T094031_N9999_R036_T35WPP_02_57,A satellite image of complex cultivation patterns,232.24,1.58,0.035,0.0339,1.0
S2A_MSIL2A_20180219T094031_N9999_R036_T35WPP_17_72,A satellite image of complex cultivation patterns,230.43,1.4,0.0329,0.0326,1.0
S2A_MSIL2A_20180219T094031_N9999_R036_T35WPP_28_75,A satellite image of complex cultivation patterns,233.48,1.25,0.0353,0.0337,1.0
S2A_MSIL2A_20180219T094031_N9999_R036_T35WPP_31_79,A satellite image of complex cultivation patterns,233.15,1.36,0.0351,0.0344,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_07_65,A satellite image of complex cultivation patterns,232.47,1.45,0.0344,0.0327,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_08_88,A satellite image of complex cultivation patterns,233.85,1.3,0.0342,0.0324,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_09_43,A satellite image of complex cultivation patterns,235.21,1.38,0.0298,0.0292,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_14_45,A satellite image of complex cultivation patterns,231.35,1.38,0.0317,0.0305,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_17_75,A satellite image of complex cultivation patterns,231.06,1.2,0.0294,0.0289,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_21_16,A satellite image of complex cultivation patterns,232.08,1.26,0.0324,0.0318,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_23_05,A satellite image of complex cultivation patterns,233.04,1.31,0.0292,0.0279,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_25_87,A satellite image of complex cultivation patterns,234.31,1.43,0.0316,0.0304,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_32_73,A satellite image of complex cultivation patterns,233.73,1.31,0.031,0.0303,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_39_02,A satellite image of complex cultivation patterns,232.41,1.35,0.0352,0.0325,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_50_33,A satellite image of complex cultivation patterns,234.07,1.45,0.0258,0.0252,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_53_60,A satellite image of complex cultivation patterns,250.28,1.31,0.0408,0.0374,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_57_15,A satellite image of complex cultivation patterns,233.23,1.3,0.0297,0.029,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_57_35,A satellite image of complex cultivation patterns,233.96,1.27,0.0286,0.0278,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_61_41,A satellite image of complex cultivation patterns,236.02,1.46,0.0351,0.0325,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_63_41,A satellite image of complex cultivation patterns,233.26,1.27,0.0354,0.0329,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_73_69,A satellite image of complex cultivation patterns,234.28,1.32,0.0184,0.0177,1.0
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_73_78,A satellite image of complex cultivation patterns,233.83,1.34,0.0185,0.0177,1.0
S2A_MSIL2A_20180228T101021_N9999_R022_T34WFS_06_67,A satellite image of complex cultivation patterns,232.33,1.31,0.0333,0.0324,1.0
S2A_MSIL2A_20180228T101021_N9999_R022_T34WFS_13_73,A satellite image of complex cultivation patterns,233.95,1.31,0.0351,0.0343,1.0
S2A_MSIL2A_20180228T101021_N9999_R022_T34WFS_20_50,A satellite image of complex cultivation patterns,232.0,1.41,0.0292,0.0282,1.0
S2A_MSIL2A_20180228T101021_N9999_R022_T34WFS_27_33,A satellite image of complex cultivation patterns,233.06,1.41,0.0272,0.0266,1.0
S2A_MSIL2A_20180228T101021_N9999_R022_T34WFS_39_68,A satellite image of complex cultivation patterns,233.87,1.33,0.0303,0.0287,1.0
S2A_MSIL2A_20180228T101021_N9999_R022_T34WFS_42_13,A satellite image of complex cultivation patterns,233.15,1.4,0.0328,0.0315,1.0
S2A_MSIL2A_20180228T101021_N9999_R022_T34WFS_51_56,A satellite image of complex cultivation patterns,232.8,1.56,0.0351,0.0339,1.0
S2A_MSIL2A_20180228T101021_N9999_R022_T34WFS_69_30,A satellite image of complex cultivation patterns,235.22,1.38,0.0333,0.0322,1.0
S2A_MSIL2A_20180228T101021_N9999_R022_T34WFS_71_20,A satellite image of complex cultivation patterns,235.14,1.33,0.0375,0.0362,1.0
S2A_MSIL2A_20180228T101021_N9999_R022_T34WFS_74_07,A satellite image of complex cultivation patterns,234.87,1.3,0.0326,0.0311,1.0
