method,num_folds,num_query_mean,num_gallery_mean,R@1_mean,R@1_std,R@1_mean_std,R@5_mean,R@5_std,R@5_mean_std,R@10_mean,R@10_std,R@10_mean_std,mAP_mean,mAP_std,mAP_mean_std
RGB-CLIP,5,5400.0,5400.0,80.24074196815491,0.6853109204192269,80.24±0.69,94.94444489479065,0.47987638442925523,94.94±0.48,97.61851787567139,0.37602263542231723,97.62±0.38,40.37845551574396,0.3062222746286621,40.38±0.31
PCA,5,5400.0,5400.0,83.6222231388092,0.19755054855407866,83.62±0.20,96.26296281814575,0.19789656335574848,96.26±0.20,98.27777624130249,0.14987463411556162,98.28±0.15,42.743602188897356,0.14723324958466866,42.74±0.15
NDVI,5,5400.0,5400.0,83.68888854980469,0.4698382114405507,83.69±0.47,96.34074091911316,0.26077429180527867,96.34±0.26,98.18888783454895,0.3387922838294864,98.19±0.34,45.556153159602374,0.21620354140231554,45.56±0.22
Tip-Adapter,5,5400.0,5400.0,67.66666650772095,0.6134911558477243,67.67±0.61,89.29259419441223,0.5048462154085706,89.29±0.50,94.51111078262329,0.31306613023333163,94.51±0.31,36.58090747447201,0.2800492028090157,36.58±0.28
RS-TransCLIP,5,5400.0,5400.0,78.57407450675964,0.9057988402121762,78.57±0.91,92.17777848243713,0.6127364791867381,92.18±0.61,95.22592544555664,0.42881424005242663,95.23±0.43,43.213831867774324,0.31300897899271246,43.21±0.31
Ours,5,5400.0,5400.0,85.02222418785095,0.6775601475209925,85.02±0.68,96.42222285270691,0.2149269553205113,96.42±0.21,98.19629549980164,0.23773105818030088,98.20±0.24,45.001533789615394,0.29485517855265786,45.00±0.29
