method,query_label,class_name,num_folds,num_queries,mAP_mean,mAP_std,mAP_mean_std,R@1_mean,R@1_std,R@1_mean_std,R@5_mean,R@5_std,R@5_mean_std,R@10_mean,R@10_std,R@10_mean_std
Ours,0,AnnualCrop,5,3000,49.71337045455972,18.740944227917225,49.71±18.74,85.7,35.01312096266935,85.70±35.01,97.0,17.061565940561103,97.00±17.06,98.6,11.751001177611435,98.60±11.75
Ours,1,Forest,5,3000,60.39639419813951,14.44333689588277,60.40±14.44,94.16666666666667,23.44117570561915,94.17±23.44,99.56666666666666,6.569622683454243,99.57±6.57,99.83333333333333,4.07975943341848,99.83±4.08
Ours,2,HerbaceousVegetation,5,3000,40.08110773389538,12.855079178864976,40.08±12.86,82.96666666666667,37.59880466530342,82.97±37.60,96.73333333333333,17.779227275945715,96.73±17.78,98.83333333333333,10.73983256651337,98.83±10.74
Ours,3,Highway,5,2500,22.77488715559244,8.388629739562218,22.77±8.39,65.88,47.420724267307584,65.88±47.42,92.08,27.01046882544744,92.08±27.01,96.52,18.330957683761138,96.52±18.33
Ours,4,Industrial,5,2500,55.55702633842826,19.755631874681505,55.56±19.76,90.96,28.681133920701097,90.96±28.68,98.12,13.584528544130878,98.12±13.58,98.84,10.709821665744247,98.84±10.71
Ours,5,Pasture,5,2000,27.70594479609281,11.420098414904796,27.71±11.42,76.55,42.37918708220905,76.55±42.38,93.1,25.351752516893956,93.10±25.35,95.75,20.177737002331746,95.75±20.18
Ours,6,PermanentCrop,5,2500,23.902499228417874,9.772361836046661,23.90±9.77,73.08,44.36328256944175,73.08±44.36,91.92,27.258224526218303,91.92±27.26,95.8,20.062926217363238,95.80±20.06
Ours,7,Residential,5,3000,46.00071536476413,15.083314181335373,46.00±15.08,93.03333333333333,25.46268521454484,93.03±25.46,98.96666666666667,10.11432921358122,98.97±10.11,99.5,7.054543845136574,99.50±7.05
Ours,8,River,5,2500,35.8595320892334,14.805410084628992,35.86±14.81,84.32,36.368484525295614,84.32±36.37,96.28,18.928944026775177,96.28±18.93,97.96,14.139249179038424,97.96±14.14
Ours,9,SeaLake,5,3000,77.23869047934811,28.88054643859915,77.24±28.88,97.13333333333334,16.689569680919483,97.13±16.69,98.93333333333334,10.274438034001037,98.93±10.27,99.56666666666666,6.569622683454243,99.57±6.57
