dataset,resolution,method,timestamp,R@1,R@5,R@10,mAP
EuroSAT,64x64,Ours,2026-04-25T05:31:03.026788+00:00,88.1852,97.4444,98.7037,45.5155
EuroSAT,128x128,Ours,2026-04-25T05:31:03.026788+00:00,87.6296,97.1482,98.1111,44.2893
