method,dataset,protocol,zero_shot,timestamp,R@1,P@1,ML_Recall@1,F1@1,R@5,P@5,ML_Recall@5,F1@5,R@10,P@10,ML_Recall@10,F1@10,mAP
Ours (EuroSAT HP),BigEarthNet-S2,1000q_10000g,True,2026-04-25T03:28:33.878184+00:00,89.8,89.8,0.0166,0.0332,99.0,87.52,0.0789,0.1577,99.5,86.23,0.1546,0.3086,68.0421
RGB-CLIP,BigEarthNet-S2,1000q_10000g,False,2026-04-25T03:28:33.878184+00:00,87.2,87.2,0.0157,0.0314,99.4,86.6,0.0784,0.1566,99.8,85.52,0.1541,0.3075,67.1479
