query_index,num_active_labels,num_relevant_gallery,AP_percent,first_hit_rank,hit@1,hit@5,hit@10
491,4,6717,78.1983494758606,1,True,True,True
492,2,5218,71.22703790664673,1,True,True,True
493,1,3990,54.983729124069214,1,True,True,True
494,1,3721,44.850847125053406,1,True,True,True
495,1,3990,46.54478132724762,1,True,True,True
496,2,6385,74.72130060195923,1,True,True,True
497,4,8939,93.12031865119934,1,True,True,True
498,2,6123,76.8733561038971,1,True,True,True
499,5,7616,76.06136798858643,1,True,True,True
500,3,5738,61.62980794906616,1,True,True,True
501,2,5218,69.43362355232239,1,True,True,True
502,1,3721,37.815117835998535,1,True,True,True
503,1,3721,49.87678527832031,1,True,True,True
504,2,5218,63.13738226890564,1,True,True,True
505,1,3218,37.65188753604889,1,True,True,True
506,4,7462,87.7646803855896,1,True,True,True
507,1,4518,72.6557195186615,1,True,True,True
508,1,3721,48.22377264499664,1,True,True,True
509,1,3721,52.73693799972534,1,True,True,True
510,2,5218,55.63528537750244,2,False,True,True
511,4,8939,91.60192012786865,1,True,True,True
512,2,6243,73.23367595672607,1,True,True,True
513,3,5738,59.380948543548584,1,True,True,True
514,2,5218,63.609397411346436,1,True,True,True
515,1,2411,23.3618825674057,8,False,False,True
516,2,5218,65.13748168945312,1,True,True,True
517,1,3721,46.55031859874725,1,True,True,True
518,1,4518,49.47044551372528,1,True,True,True
519,1,4518,64.66118097305298,1,True,True,True
520,3,6003,83.63323211669922,1,True,True,True
521,2,5218,60.0788950920105,1,True,True,True
522,2,5218,61.28166317939758,1,True,True,True
523,1,4518,36.86316907405853,2,False,True,True
524,1,3990,41.531625390052795,6,False,False,True
525,1,4518,57.165735960006714,1,True,True,True
526,3,8132,80.27558326721191,1,True,True,True
527,3,6804,76.61239504814148,1,True,True,True
528,1,4518,54.20769453048706,1,True,True,True
529,2,5218,61.38646602630615,1,True,True,True
530,2,5218,59.92951989173889,1,True,True,True
531,2,5218,56.75637125968933,1,True,True,True
532,2,5218,60.21784543991089,1,True,True,True
533,2,5629,82.22658634185791,1,True,True,True
534,2,5218,65.90334177017212,1,True,True,True
535,5,8549,90.33392667770386,1,True,True,True
536,1,3721,52.182936668395996,1,True,True,True
537,3,5738,61.12513542175293,1,True,True,True
538,5,8932,92.34675168991089,1,True,True,True
539,1,4518,33.06587636470795,1,True,True,True
540,2,5218,62.79115676879883,1,True,True,True
541,2,6389,79.50814366340637,2,False,True,True
542,2,5218,65.54828882217407,1,True,True,True
543,2,5218,67.422616481781,1,True,True,True
544,4,7922,87.37019300460815,1,True,True,True
545,1,4518,56.65339231491089,1,True,True,True
546,4,6740,65.39850234985352,1,True,True,True
547,2,5092,61.86217665672302,1,True,True,True
548,4,8580,95.04581093788147,1,True,True,True
549,1,2319,22.3124161362648,4,False,True,True
550,3,7591,85.7923686504364,1,True,True,True
551,1,4518,52.83488631248474,1,True,True,True
552,3,6870,63.14103603363037,1,True,True,True
553,2,4249,47.09261953830719,1,True,True,True
554,2,5218,66.88665747642517,1,True,True,True
555,3,5081,56.67067766189575,1,True,True,True
556,2,5629,49.756115674972534,1,True,True,True
557,5,7998,85.80257296562195,1,True,True,True
558,3,6870,81.56450986862183,1,True,True,True
559,2,7338,71.11789584159851,1,True,True,True
560,2,5218,64.70389366149902,1,True,True,True
561,1,3990,51.145607233047485,1,True,True,True
562,3,6804,77.38034129142761,1,True,True,True
563,2,5218,58.53099822998047,2,False,True,True
564,3,7591,85.65075993537903,1,True,True,True
565,3,8433,85.12316346168518,1,True,True,True
566,1,4518,64.46613669395447,1,True,True,True
567,3,6569,83.56685638427734,1,True,True,True
568,2,5629,84.74978804588318,1,True,True,True
569,3,6875,71.36967778205872,1,True,True,True
570,1,4518,35.232311487197876,1,True,True,True
571,1,3721,42.45731830596924,15,False,False,False
572,5,8452,87.58506774902344,1,True,True,True
573,5,7611,90.19505977630615,1,True,True,True
574,5,8915,91.64595007896423,1,True,True,True
575,3,8132,86.6121232509613,1,True,True,True
576,4,7591,83.8036596775055,1,True,True,True
577,1,3721,45.856261253356934,1,True,True,True
578,3,8500,86.41437292098999,1,True,True,True
579,3,8500,86.26763224601746,1,True,True,True
580,3,6804,81.40214085578918,1,True,True,True
581,1,3218,43.374040722846985,1,True,True,True
582,3,7413,71.97506427764893,1,True,True,True
583,1,3990,45.37800848484039,2,False,True,True
584,2,4249,42.09885597229004,3,False,True,True
585,1,4518,62.69747018814087,1,True,True,True
586,3,8132,88.40270638465881,1,True,True,True
587,3,6684,71.28517627716064,1,True,True,True
588,1,4518,66.04939103126526,1,True,True,True
589,1,3721,51.75430774688721,1,True,True,True
590,1,3218,48.38895499706268,1,True,True,True
591,1,4518,64.25168514251709,1,True,True,True
592,2,6385,72.90154695510864,1,True,True,True
593,4,8327,93.24389696121216,1,True,True,True
594,3,4754,47.93180823326111,1,True,True,True
595,4,4918,66.82711839675903,1,True,True,True
596,1,4518,45.54626643657684,1,True,True,True
597,1,3218,46.112626791000366,1,True,True,True
598,2,5218,61.74853444099426,1,True,True,True
599,4,8723,92.88626313209534,1,True,True,True
600,3,7991,88.19466829299927,1,True,True,True
601,1,2411,33.710649609565735,1,True,True,True
602,2,5218,62.8196656703949,1,True,True,True
603,2,5591,71.55130505561829,2,False,True,True
604,2,5556,61.2205445766449,1,True,True,True
605,3,5738,58.44401717185974,2,False,True,True
606,2,5218,66.30744338035583,1,True,True,True
607,3,5738,57.12043046951294,1,True,True,True
608,3,5425,69.21108961105347,2,False,True,True
609,2,5218,65.82673192024231,1,True,True,True
610,3,7017,80.02744317054749,1,True,True,True
611,4,7353,87.24591732025146,2,False,True,True
612,4,8939,92.88482666015625,1,True,True,True
613,4,7481,77.29566693305969,1,True,True,True
614,3,6684,77.26266384124756,1,True,True,True
615,1,3218,40.42486250400543,2,False,True,True
616,1,3002,30.91035485267639,17,False,False,False
617,4,8580,94.51308250427246,1,True,True,True
618,3,6397,84.34327840805054,1,True,True,True
619,3,5869,81.83528780937195,1,True,True,True
620,1,3218,43.51198077201843,1,True,True,True
621,1,3218,37.754592299461365,2,False,True,True
622,3,6569,61.81597709655762,1,True,True,True
623,2,5218,61.845195293426514,1,True,True,True
624,4,6117,63.75035643577576,1,True,True,True
625,1,3218,49.56918954849243,1,True,True,True
626,2,5218,68.252032995224,1,True,True,True
627,3,6870,75.3904402256012,1,True,True,True
628,4,7481,72.16822504997253,1,True,True,True
629,2,5851,69.4822371006012,1,True,True,True
630,5,8867,87.78913021087646,1,True,True,True
631,1,3218,47.46052920818329,1,True,True,True
632,4,7481,83.27783346176147,1,True,True,True
633,1,3721,46.81653380393982,1,True,True,True
634,2,6385,59.44654941558838,1,True,True,True
635,3,6803,76.84298157691956,1,True,True,True
636,3,8185,85.7542872428894,1,True,True,True
637,3,6751,73.43803644180298,1,True,True,True
638,3,7249,83.82282257080078,1,True,True,True
639,2,5218,68.02087426185608,1,True,True,True
640,3,5869,74.111407995224,1,True,True,True
641,5,9252,94.92756128311157,1,True,True,True
642,4,9290,94.45831775665283,1,True,True,True
643,1,3721,46.306002140045166,2,False,True,True
644,2,5629,81.27972483634949,1,True,True,True
645,4,8657,90.39331674575806,1,True,True,True
646,4,8580,93.1553304195404,1,True,True,True
647,1,4518,54.85902428627014,1,True,True,True
648,1,4518,45.38746178150177,1,True,True,True
649,3,7199,75.93209743499756,1,True,True,True
650,4,8147,89.36963677406311,1,True,True,True
651,3,7284,77.73894667625427,1,True,True,True
652,4,8939,92.90433526039124,1,True,True,True
653,3,7205,80.59900999069214,1,True,True,True
654,2,5218,61.50468587875366,1,True,True,True
655,2,5218,67.59271621704102,1,True,True,True
656,3,7989,91.98153018951416,1,True,True,True
657,3,7453,83.7578535079956,1,True,True,True
658,2,5218,63.701826333999634,1,True,True,True
659,1,4518,40.7403439283371,1,True,True,True
660,2,5851,60.842013359069824,5,False,True,True
661,2,5715,60.930901765823364,2,False,True,True
662,3,8132,73.823082447052,1,True,True,True
663,2,5218,61.017853021621704,1,True,True,True
664,2,5629,59.66386795043945,1,True,True,True
665,1,3218,47.95578122138977,1,True,True,True
666,2,5715,62.85809278488159,2,False,True,True
667,2,5218,66.60823225975037,1,True,True,True
668,2,5629,66.21041297912598,1,True,True,True
669,7,9945,99.70762133598328,1,True,True,True
670,1,4518,71.11032605171204,1,True,True,True
671,1,4518,60.37265062332153,1,True,True,True
672,4,9038,94.26925778388977,1,True,True,True
673,2,5591,59.96180772781372,1,True,True,True
674,2,6389,77.0574152469635,1,True,True,True
675,4,8903,91.24576449394226,1,True,True,True
676,1,3721,44.01593208312988,1,True,True,True
677,3,8500,84.0502142906189,1,True,True,True
678,2,6385,65.06270170211792,1,True,True,True
679,1,3721,51.96548104286194,1,True,True,True
680,2,6385,70.99913954734802,1,True,True,True
681,2,5715,67.08840131759644,1,True,True,True
682,1,3721,47.22331166267395,1,True,True,True
683,4,7591,85.49224734306335,1,True,True,True
