stage_order,component,configuration,query_split,gallery_split,num_queries,num_gallery,fusion_mean_ms_query,fusion_mean_ms_gallery,mean_weight_entropy,R@1,R@5,R@10,mAP,delta_R@1_vs_rgb,delta_R@10_vs_rgb,incremental_delta_R@1,incremental_delta_R@10,redundant_by_R@1
1,No per-band (RGB baseline),RGB-CLIP image-to-image,val,test,2700,2700,0.0,0.0,,79.11111116409302,94.5555567741394,97.18518257141113,41.0467058232537,0.0,0.0,0.0,0.0,False
2,+ Per-band encode,Uniform mean of 13 per-band CLIP embeddings,val,test,2700,2700,0.010150118269612667,0.009008590401477974,2.5649490356445312,84.11111235618591,96.85184955596924,98.629629611969,46.85140422924801,5.0000011920928955,1.4444470405578613,5.0000011920928955,1.4444470405578613,False
3,+ Affinity graph,Query-alignment softmax band weights,val,test,2700,2700,0.04080535354592872,0.032419182038952214,2.5638322830200195,83.88888835906982,96.81481719017029,98.55555295944214,47.10546205786091,4.777777194976807,1.3703703880310059,-0.22222399711608887,-0.07407665252685547,True
4,+ Fiedler,"Fiedler magnitude weights, no manifold optimization",val,test,2700,2700,0.08812063330508492,0.08771814022178727,2.324293375015259,83.22222232818604,96.22222185134888,98.59259128570557,44.752590512373935,4.111111164093018,1.4074087142944336,-0.6666660308837891,0.037038326263427734,True
5,+ Manifold optimization,Full Fiedler + manifold optimization pipeline,val,test,2700,2700,1.2321182719487869,1.2822881235991157,2.3444265127182007,83.14814567565918,96.29629850387573,98.44444394111633,45.25504702867733,4.037034511566162,1.2592613697052002,-0.07407665252685547,-0.1481473445892334,True
