,stage,R@1_mean,R@1_std,R@5_mean,R@5_std,R@10_mean,R@10_std,mAP_mean,mAP_std,delta_R@1_vs_rgb,delta_R@10_vs_rgb,incr_delta_R@1
RGB baseline,Ablation-RGB,80.24074196815491,0.6853109204192269,94.94444489479065,0.4798763844292583,97.61851787567139,0.3760226354223198,40.37845551637864,0.3062222636502741,0.0,0.0,0.0
+ Per-band encode,Ablation-PBMean,86.33333444595337,0.2559316243152261,97.2259271144867,0.15570859220564637,98.65185141563416,0.11294932016882621,46.40986884531599,0.29228502472923507,6.092592477798462,1.0333335399627686,6.092592477798462
+ Affinity graph,Ablation-Affinity,86.5407407283783,0.17636485890967207,97.21111178398132,0.1306832810219903,98.67407441139221,0.11157462302016988,46.56449141151927,0.2844344727078655,6.299998760223389,1.0555565357208252,0.20740628242492676
+ Fiedler,Ablation-Fiedler,84.93333339691162,0.6144118284810505,96.32222175598145,0.17153311584433772,98.12962889671326,0.16090939813461555,44.51890529220303,0.29567901630545773,4.692591428756714,0.5111110210418701,-1.6074073314666748
+ Manifold opt (Full),Ablation-Full,85.01851916313171,0.6196092940892403,96.43703699111938,0.24448754428626995,98.211110830307,0.21777954420698095,45.01947510341803,0.3055212639107096,4.777777194976807,0.5925929546356201,0.08518576622009277
