dataset,task,composite,num_queries,num_gallery,num_classes,seed,R@1,R@5,R@10,mAP,avg_labels_per_query,avg_labels_per_gallery,P@1,ML_Recall@1,F1@1,P@5,ML_Recall@5,F1@5,P@10,ML_Recall@10,F1@10
EuroSAT_MS,image_to_image_single_label,NDVI|NDWI|SAVI,2700,2700,10,42,81.77777528762817,96.2592601776123,98.44444394111633,45.800061211127925,,,,,,,,,,,
BigEarthNetS2,image_to_image_multi_label,NDVI|NDWI|SAVI,1000,10000,10,42,88.7000024318695,98.4000027179718,99.29999709129333,70.84944211952389,2.632999897003174,2.6589999198913574,88.7000024318695,0.016678712563589215,0.03334810317028314,88.2800042629242,0.08224122575484216,0.16425818903371692,87.44999766349792,0.16171338502317667,0.32257065176963806
