dataset,alpha,R@1,R@5,R@10,mAP
EuroSAT_MS,0.3,76.85185074806213,91.96296334266663,95.333331823349,43.811700839687276
EuroSAT_MS,0.5,75.48148036003113,89.96296525001526,93.74074339866638,45.32570824620348
EuroSAT_MS,0.7,72.92592525482178,87.77777552604675,91.74073934555054,46.571956969107745
